id,name,description
works/79971,A Year to Remember 1931,1965 film
works/100369,Royal Tour,1954 film
works/64765,The Angel and the rat,1979 film
works/79175,Kindred spirits,1986 film by Alan Fisk
works/88483,Gallery of the great. No. 1. Monty of Alamein,1959 film
works/82321,School days,1989 film by Robin James
works/116530,Bill's story,JUN 2007 film
works/89375,KRO Germany,1947 film
works/80161,Bowl Turning,1985 film by Rick Mastelli
works/84306,How to interview & hire the right people. V.3,1992 film
works/77957,A Case of eggs,1974 film by Bernard Devlin
works/117642,Chartres cathedral,1963 film
works/77526,Taxi!,1982 film by Barry Greenwald
works/83743,The Emperor and the nightingale,1987 film by Mark Sottnick
works/71572,The Pilgrims,1954 film
works/89536,Buffalo Bill and the Indians,1976 film by Robert Altman
works/73410,The Swallowtail story: the life history of an English butterfly,1965 film
works/74919,Workshop for Peace,1954 film
works/110742,The Shadow of simplicity,2004 film
works/111274,Kids playing. Pt. 2,film
works/72585,A Search for learning,1967 film by Donald Shebib
works/82385,Paper making,1992 film by John Dobis
works/93111,Junkmail,1998 film by Pal Sletaune
works/65516,Bob and Caren and Ted and Janice,1973 film by David Bowen
works/86595,Beyond curtains,1978 film by Denis Poulin
works/74677,Where do you go from here,1975 film by Jeff Inman
works/81515,Chernobyl: Counting the Cost,1989 film
works/74981,Yehudi Menuhin. No. 02,1948 film by Paul Gordon
works/66944,The Drug bug,1970 film by Horla Stefanesco
works/87095,Treasure gardens with Alan Titchmarsh,1992 film
works/89291,Aquarium wonderland,1955 film
works/79259,Biko: Breaking the silence,1987 film
works/89160,Advanced seams,1947 film
works/117227,Friendship beats the storm,AUG 2010 film
works/67268,Australian Aborigines: everything from nature,1952 film
works/73581,Teiva,1960 film by Francis Maziere
works/89420,The Heart of England,1954 film by Michael Clarke
works/77780,Moses Pendleton presents Moses Pendleton,1982 film by Robert Elfstrom
works/78608,Why'd the beetle cross the road?,1984 film by Jan Skrentny
works/109995,The Tree outside my house,2004 film
works/117635,Behavior of structural materials,1969 film
works/110804,3 years,2006 film
works/80759,Leopold: the see-through crumbpicker,1970 film by Gene Deitch
works/109013,Dreams of return,1999 film
works/114267,Look sharp,2006 film by Amy Gebhardt
works/74834,Women and education,1955 film by P.R.S. Pillay
works/90184,The Gift,1960 film by Bruce McNaughton
works/78973,Suho and the white horse,1982 film
works/68202,Green buds of hope,1952 film
works/70710,A Musician in the family,1953 film by Gudrun Parker
works/88344,Beni Abbes: science in the desert,1957 film
works/77333,Power among men,1959 film by Thorold Dickinson
works/97685,The Philippines: talking pictures,1980 film
works/94650,Projekt No. 4,2003 film
works/110084,Dragon chess,2005 film
works/74952,World's first underwater television grab,1957 film
works/90034,To be a performer,1970 film by Terry Sanders
works/77317,A New age for the old,1979 film
works/91664,France panorama.,1970 film
works/82097,Australasian landforms,1981 film by Ken J. Widdowson
works/71377,The Party,1963 film by Paul Sutherland
works/68303,Happily ever after,1978 film by John Honey
works/76648,Mirror of Germany. No. 322,1981 film
works/87409,Around the world in search of steam: the life & travels of Colin Garrett,1987 film by Nick Dodson
works/78421,Integrated Alternative Health Care,1984 film
works/71577,Pioneer city,1966 film by Eric Fullilove
works/66352,Conspiracy in Kyoto,1953 film
works/89618,Sail ho!,1953 film
works/71453,People of the cities,1979 film by Arch Nicholson
works/74725,The Whole works,1954 film by Margaret Thomson
works/69141,It needn't happen,1959 film
works/99306,Raoul Wallenberg: between the lines,1985 film by Karin Altmann
works/97714,Predation of cossid moth larvae by yellow-tailed black cockatoos,1980 film
works/71004,Now flow the rivers westward,1959 film by H Malcolm
works/89894,People are different,1960 film
works/97548,Ghanaian Village,1978 film
works/98722,Early starters,1983 film by Peter Dodds
works/88403,Farnborough 1968,1968 film
works/108280,Bsss,1999 film by Felix Gonnert
works/75943,Meecology,1975 film by Dennis Marlas
works/117548,Turkey,1976 film
works/95658,Great cargoes,film by Paul Rotha
works/110314,The Laundry,1997 film by Alex Chomicz
works/88292,Town meeting of the world,1946 film
works/69378,Key to progress,1962 film by Julian Sprio
works/71199,Oral cancer: the problems of early diagnosis,1953 film
works/98119,Dragoncastle,1980 film by Paul Mason
works/75859,Capricorn charter,1970 film by Frank Killian
works/74591,West Germany: industrial giant,1966 film
works/108790,Found,2002 film
works/71632,Plant-animal Communities: the changing balance of nature,1963 film
works/85255,Independent living centre,1986 film
works/73170,Secrets of nature: starting in life,1949 film
works/71860,Problem clinic,1954 film by Ronald Weyman
works/70385,The Millewa channel system,1968 film
works/94387,Everything and nothing,2001 film
works/88051,The Director,1999 film by Patrick Hughes
works/92627,Just like you,2001 film
works/119763,The Impact,2004 film
works/65588,Breaking barriers,1978 film
works/93272,Living with breast cancer,1995 film
works/91833,Water polo: Montreal Olympics,1976 film by Barry Williams
works/108101,Sleep with the fishes,1992 film by Jos Valdman
works/99279,Keeping the old game alive,1984 film by Douglas Kiefer
works/85604,The Bank of England,1960 film by Derek Williams
works/66929,Drinking,1976 film by Joe Licastro
works/94547,The House of names,2003 film by Charlotte George
works/78701,The Natural landscape,1987 film
works/66400,Copenhagen holiday,1960 film by Olle Comstedt
works/98543,Drought,1983 film by Tristram Miall
works/77808,The Consequences of nuclear war,1983 film
works/64652,Algeria,1962 film
works/78823,On the side of the angels,1987 film by Claire Jager
works/75282,Hostellers,1965 film by Gloria Sachs
works/66127,Citizen army,1955 film
works/108853,Noise TV - Darebin Music Feast,2002 film by Simon Moore
works/79157,Animals of Australia,1979 film
works/75866,Farm boy of Hungary,1974 film by Gabor Kalman
works/75424,Somewhere to go,1974 film by Brian Bergin
works/80566,Bob Connolly and Robin Anderson,1989 film
works/108960,Archival prints,film
works/69788,Little Red Riding Hood,1951 film
works/77634,Nearly no Christmas,1982 film by Yvonne MacKay
works/78758,Rainbow war,1985 film by Bob Rogers
works/79236,How a Child Grows,1987 film by Claire Henderson
works/81761,The Bronte sisters,1984 film by Peter Hort
works/70927,No other choice,1965 film by Krishna Singh
works/73521,Tasmanian tapestry,1953 film by Hugh McInnes
works/65914,Chain reaction,1965 film
works/72637,The Siege of Tobruk,1942 film
works/66262,Common fallacies about group differences,1957 film
works/75034,Your children's teeth,1945 film by Jane Massy
works/69799,"The Living camera, with Paul",1970 film
works/65636,The Broken silence,1968 film by Peter Drummond
works/88542,Children of change,1961 film by Henwar Rodakiewicz
works/95791,Light: lenses and optical instruments,1961 film
works/114146,The Posidon Rush - Jack Flett,1986 film
works/84288,Across the Sea of Galilee,1993 film
works/95932,How the historian proves a hypothesis,1966 film
works/96471,Archaeology in the laboratory,1969 film by J.P. Baux
works/65436,A Bird of prey: the red-tailed hawk,1972 film
works/109175,M'eza,2002 film
works/97378,Saudi Arabia: the oil revolution,1975 film by Antony Thomas
works/75823,On Paper,film
works/82310,City of the angels,1980 film by Geoffrey Barnes
works/87200,Strategy for survival,1976 film by Grant Foster
works/78464,The Platypus,1970 film by Betti Wood
works/78302,Welcome to my home,1984 film
works/111372,Abraham Lincoln: a background study,1957 film
works/87517,Acquiring a taste for Raffaella,1996 film by Sandra Lepore
works/65124,Australian diary. No. 132,1968 film
works/73271,The Story of water harvesting,1961 film
works/73860,Tips for teachers,1941 film
works/111012,Anniversary of the paper cranes,FEB 2007 film
works/79337,State of the art. Part 5: Politics,1986 film by Geoff Dunlop
works/118011,Long Way to the Top – AC/DC,1976 film by Paul Drane
works/97359,Earthquakes and volcanoes. - Rev. ed.,1977 film
works/70624,The Mount Hagen Show,1964 film by Boris Cook
works/69984,The Magic bean,1966 film by Terence Weathers
works/92089,Forget me not,1992 film by Chloe Kimberley
works/97124,Prevention of stuttering: identifying the danger signs,1974 film
works/85778,"Dashes, hurdles and relays",1938 film
works/78822,Three Films By Jane Campion,1984 film by Jane Campion
works/95773,Rise of the Roman Empire,1954 film
works/65906,Centralia,1971 film by Keith Wood
works/91964,Under my skin,1998 film by Jacqueline Matisse
works/73529,Taxi,1969 film by Roland Stutz
works/66447,Country children,1975 film by Chris Pettit
works/71047,The Odyssey. Episode 6,1963 film
works/86914,Relationships and stress,1980 film by David A. Tapper
works/82407,Un Chant d'amour. Flames of passion. Looking for Langston,1989 film
works/98348,Tech Talk. Episode 21.,1983 film
works/65212,Balloon goes up,1963 film
works/77549,For the love of dance,1981 film
works/86798,Playground,1975 film
works/76846,Silly Mr/Mr Silly,1973 film by Terry Ward
works/82184,Working with display screen equipment,1993 film
works/98526,Teacher and technology,1982 film by Milton Ingerson
works/78826,The Outsider,1951 film
works/77121,Fish heads,1980 film
works/109097,Knot @ home. Story 5,2003 film
works/117315,Cubbies,2012 film
works/70288,Memento,1968 film by Stefan Sharff
works/98066,Man of wheat: the saga of Glen Miller,1980 film
works/110011,Always a farmer,2004 film
works/88855,Cleopatra and Antony,1938 film by Horace Shepard
works/74759,Wild September snow,1969 film by John King
works/108061,Nice day,1997 film
works/67351,The Face of Red China,1955 film by Av Westin
works/95894,Magnets for beginners,1965 film
works/81803,"The Color of the Moment: Japanese Bridges, Claude Monet",1990 film
works/90126,Australian achievement,1967 film
works/97774,"The Last meow: 'Valse Triste', Jean Sibelius",1976 film by Bruno Bozzetto
works/69665,Life from the sea,1965 film
works/68824,In praise of retirement,1973 film
works/93246,Doodlin': impressions of Len Lye,1987 film by Keith Griffiths
works/69357,Kathy Rose: pencil booklings,1978 film
works/72502,Scandinavia,1976 film
works/96238,Color,1969 film
works/99062,Co-operative learning: from 'me' to 'we',1986 film by Rob McCubbin
works/66209,The Coastguard,1972 film by Simon Campbell-Jones
works/78099,Twenty-Eight Up: Prog.1: Pt.3,1984 film by Michael Apted
works/97488,More than blood and bandages,1979 film by Brian Hannant
works/73532,TB trailer,1952 film
works/73914,Tomorrow's Canberra,1972 film by Fred Schepisi
works/70870,New uses for Seaweed,1953 film
works/71840,Principles of nuclear fission,1957 film
works/96376,The Frog prince,1969 film
works/69977,Madhya Bharat. Part 1,1952 film by K Khandpur
works/84095,Madeline and the gypsies,1991 film
works/78125,Line of Least Resistance,1984 film
works/78420,For love or money: a history of women and work in Australia,1983 film
works/77234,Elements of survival. Part 2. Food,1974 film by Doug Lower
works/71035,Paderewski playing his Minuet followed by Beethoven's Moonlight Sonata,1935 film
works/84450,The Death of stars,1994 film by David P. Stone
works/98242,Electrostatics II,1982 film by Jack Smith
works/78982,A.D. Hope,1975 film by Keith Salvat
works/110538,Refresh Studio ID,film
works/68780,Imagination 10,1967 film by Morton Goldscholl
works/75052,Your study methods,1964 film
works/66404,Copper from Peko,1955 film by Lex Halliday
works/95877,What is a reptile?,1961 film
works/67910,Furniture Craftsman,1940 film
works/120108,Wearing Gillian,2018 film
works/66786,The Dinosaur age,1958 film
works/80265,Using Word Perfect 5.0,1988 film
works/97675,Be prepared,1981 film
works/67516,Finding out,1970 film by George Luger
works/65775,Cancer: a research story,1953 film by Larry Schwab
works/86157,Wireless nights,1991 film by Melissa Juhanson
works/84736,Shakespeare is alive and well in the modern world,1990 film
works/74861,The Woodwind choir,1938 film
works/95485,Motion pictures. 1st 20 years. Part 4,1905 film
works/115933,36: Le Grand Tournant,1970 film by Henri de Turenne
works/64923,Arthropods: insects and their relatives,1960 film
works/67110,Elephant baby,1958 film
works/66280,Commonwealth Review. No. 21,1965 film
works/109313,Arts 21 demo. ACMI an initiative of the State Film Centre,film
works/88351,Yves Saint Laurent: Valentino,1998 film by Nicolas H Charney
works/67850,From egg to newt,1949 film
works/110789,The Four musketeers,2006 film
works/68721,I need more staff,1973 film by Donald Crombie
works/64574,Africa: the land and its people. No. 1,1945 film
works/72169,Research and modern housing,1950 film by Richard F. Tambling
works/74574,Wedding at York,1961 film
works/70612,Motion and time study,1950 film
works/98558,Reptiles: a first film,1983 film
works/71574,A Pint of milk,1950 film by Malcolm Otton
works/72397,Rune stones in Sweden,1970 film
works/67932,The Game,1966 film by George Kaczender
works/93642,Beach birds for camera,1992 film
works/65227,Barbican. Pt. 2,1969 film by Robin Cantelon
works/74746,Why Victoria,1973 film by Mike Salter
works/66423,A Coronation in the Himalayas,1953 film by N.S. Thapa
works/75924,John Forrest: Clydeside computer,1975 film
works/79872,"Well, what are you doing now?",film
works/69724,Light illumination and its measurement,1961 film
works/75807,Battle of the bats,1977 film by John Burder
works/109154,Marong's Monster Circus,2002 film
works/110624,ACMI moving family portraits,2005 film
works/72512,School in Cologne,1948 film by Graham Wallace
works/64582,"After all, you're the supervisor",1979 film by Harvey Laidman
works/110131,Roses are red,1994 film by Marcella Hayward
works/92738,Bejart's Kabuki Ballet,1985 film by Kiichiro Ito
works/73782,The World of the artist: three paintings by Hieronymus Bosch,1960 film
works/91712,France panorama.,1968 film
works/66475,Craftsmen young and old,1958 film
works/71798,Presentation techniques. No. 2: presenter and studio,1967 film
works/98647,The Volunteer Youth Program,1983 film by Jack White
works/78519,My happiest years,1983 film
works/70049,Making sense,1971 film by Francis Fuchs
works/82731,A Spot of decoration,1975 film by Ivor Wood
works/119718,"One designer, two designer",1978 film by Alexander Stitt
works/73861,Tire wise,1976 film
works/69243,Jewellery making. Part 2: casting,1975 film
works/82678,Flies: the great Australian salute!,1989 film by Richard Walker
works/117595,Inferential statistics 2,1975 film
works/85676,Homosexuality: a film for discussion,1975 film by Barbara Creed
works/97744,Physical examination,1978 film
works/91695,Give me your soul,2000 film by Paul Cowan
works/65754,Canada's Atlantic Provinces,1973 film
works/114250,Joy,2000 film by Cate Shortland
works/97736,Beyond cubism,1978 film by Michael Blackwood
works/117303,Sustainable Ouyen,JUL 2012 film by Csilla Csongvay
works/98137,Projections for the future: a behavior model,1975 film
works/96803,Elementary mathematics for teachers and students: games,1970 film
works/66520,The Crucifixion,1963 film by Tim Burstall
works/88735,Moses Coady,1976 film by Kent Martin
works/111401,Action loop,1976 film by Dudley Robinson
works/117219,Packages from home,NOV 2010 film
works/98303,"Geysers, lava & hot spots",1982 film
works/69517,Late Winter to Early Spring,1954 film by Gil Brealey
works/110544,Hotel,2005 film
works/86940,A Queen who returned,1958 film
works/76365,Two thousand million years later,1976 film by Ian Barry
works/95897,Explorations of Prince Henry,1959 film
works/91814,The Dresden Cross Choir in its hometown,1975 film
works/117646,Chicago: urban life styles ii - the suburban family,1973 film
works/70335,Metrication: the task for management,1971 film by Charles Pascoe
works/115746,The Carefree sword,film by Deng Yuan
works/74467,Wings over Italy,1957 film by Philip Dorte
works/70179,Masque of the red death,1975 film
works/68252,Guiding the growth of children,1946 film by George L. George
works/117565,Logic by machine,1962 film
works/87374,Wilderness and the west,1996 film by Christopher Spencer
works/69071,An Introduction to visual illusions,1970 film by John Caldwell
works/85797,The Echinoderms,1976 film
works/91728,France panorama.,1972 film
works/61308,Homecoming: A Film by Beyoncé,film
works/116501,Le Loup et L'agneau,film
works/114300,Impossible touch,2006 film
works/76411,Caps for sale,1960 film
works/66844,The DNA story,1973 film by Ronald Fouracre
works/64999,Ask an Australian about still water swimming,1975 film by Peter Lake
works/97906,Depreciation and inflation,1980 film by Peter Robinson
works/88659,Finding the balance: Arnhem Land,1976 film
works/72654,Seniority versus ability,1968 film by Bernard Devlin
works/68225,Group Activities,film
works/67422,Fatal meeting,1962 film
works/95927,Simultaneous equations,1968 film by John Walker
works/71203,Orbital evolution,1975 film
works/93763,From me to Uncle Geoff,2006 film
works/117340,A Look from their side,APR 2011 film
works/119237,Girls can kick,2007 film
works/95313,Carmen de Sevilla,1975 film
works/66680,Defeat tuberculosis,1950 film by H.M. Nieter
works/90356,H.J. Maxwell: railroad engineer,1960 film by Trevor Greenwood
works/71888,Products of Broken Hill,1964 film
works/111353,Aboriginal legends. No. 1,1975 film by David Corke
works/81808,George,1986 film by Ron Iddon
works/68293,Handling the catch,1962 film by Dennis Shand
works/72102,The Red kite,1965 film by Morten Parker
works/78813,Pre-occupied,1985 film by Solrun Hoaas
works/94593,Heather's case,1987 film
works/87908,No. 1 hits of the 60's,1990 film
works/71177,Opera,1970 film
works/86727,It's up to us,1987 film
works/83752,Together they stand,film
works/77581,Mr Frog went a-courting,1974 film by Evelyn Lambart
works/65327,Behind the airline,1952 film by Frank Coffey
works/78821,Witch hunt,1987 film by Barbara A. Chobocky
works/99102,One drink away,1985 film by Jeff Spencer
works/97392,Modern engines and energy conversion. - rev. ed.,1978 film
works/91520,Wonder dogs in action,1945 film
works/69753,Lines - horizontal,1960 film
works/71408,Patterns in flax,1947 film
works/99233,Arms race: where do we stand?,1985 film
works/89452,Down lands,1947 film
works/65441,Birds - how we identify them,1960 film
works/72458,The Salmon industry of British Columbia,1950 film
works/67559,The First mile up,1961 film by David Bairstow
works/78991,What's causing the problem?,1987 film
works/76120,Rubens,1974 film by John Cleinge
works/109275,Virtual architecture,film
works/73302,Strike in town,1955 film by Leslie McFarlane
works/81097,The World: A Television History. Ep. 18. The West and Wider World,1985 film by John Selwyn Gilbert
works/97734,Mathematics: graphs,1978 film
works/81722,ABC for kids presents,1991 film
works/75039,Your hair and scalp,1963 film by Ken Woodward
works/117305,Game Masters: Rob Murray interview,JUN 2012 film
works/91720,France panorama.,1970 film
works/76100,Food: the story of a peanut butter sandwich,1971 film by George Kaczender
works/87597,The National fitness story,1970 film by Alex Ezard
works/97938,Who protects the consumer?,1979 film by Graham Massey
works/85768,"Jack Bush, 1909-1977",1979 film by Murray Battle
works/68109,Going to school in Australia,1973 film by Kenneth Mott
works/68279,Hamster from Hamsterdam,1971 film
works/76885,Pathways to the Future Worker Co-Operatives in N.S.W.,film
works/97756,Easter Island,1969 film
works/109798,Laika: space dog,2002 film
works/91493,Walkabout Edinburgh,1970 film by Edward McConnell
works/96851,Kittens grow up,1971 film
works/76569,That our children will not die,1978 film by Joyce Chopra
works/91360,Motion and balance,1999 film by Tarquin Cardona
works/75491,Division,1978 film
works/65862,Catamarans,1962 film by Ian Curtis
works/97633,Does anybody need me anymore?,1975 film by Paul Bogart
works/75489,Addition and subtraction,1978 film
works/117591,For the want of a nail,1976 film
works/85290,Making waves,1993 film by Whetu Fala
works/110796,10 things that I like,2006 film
works/71201,The Orange grower,1939 film
works/75730,Unions: putting you in the picture,1972 film
works/72123,Regulating body temperature,1972 film by Charles L. Finance
works/89731,The Beginning: Olympic gold,2000 film
works/71835,Principles of cooking,1943 film
works/73418,The Swimming hole,1972 film by Skeets McGrew
works/98027,Astronauts and jellybeans,1978 film by Dan Bessie
works/86191,Icarus,1974 film by Paul Bochner
works/86384,Hamlet,1992 film
works/109357,Thom's doll,2003 film
works/67941,Garbage ouroboros,1973 film by Milan Chuostek
works/89190,"Garin Nugroho: my family, my film and my nation",1998 film by Garin Nugroho
works/66133,The City and the self,1972 film by Harry From
works/116565,Blinky Bill production featurette,film
works/76238,Living tomorrow. No. 099,1972 film
works/75133,Now you're talking,1979 film by Keith Gow
works/114138,70 years at Brunswick Baths,2002 film
works/109415,Actualizing the virtual,film
works/66320,The Conductor. Pt. 1,1977 film by Milton Ingerson
works/76044,Miss Mrs and Myths,1979 film
works/70489,Mirror of Germany. No. 268,1977 film
works/72873,Sixty years of fashion,1960 film by Sam Napier-Bell
works/73871,To be a woman,1951 film by Jill Craigie
works/67777,First aid training in personnel damage control. No. 4. Fractures,1946 film
works/92448,Father's footsteps,2000 film by Erika Addis
works/64985,Ask an Australian about guns and gun laws,1975 film by Kay Roberts
works/78003,To sense the wonder,1979 film by Tim Turpie
works/96641,Libraries are kids stuff,1972 film by Alex Hankocy
works/74888,Work of the blood,1957 film
works/92117,France panorama.,1972 film
works/76377,Hitch hiker,1969 film by Gerald Varney
works/69193,"Jakob Gimpel, pianist: program No. 16",1948 film by Paul Gordon
works/98659,Slip of the tongue,1984 film by Bob Scarfe
works/86055,Afraid of school,1967 film by Robert Anderson
works/65301,"Beethoven, Symphony No. 8 in F Major",1968 film
works/76399,A Matter of attitudes,1968 film
works/92164,Tsunami,1999 film by Anna Broinowski
works/74710,Family living: who cares?,1969 film by Graham Parker
works/65167,The Autonomic nervous system,1974 film
works/68694,The Hydrogen atom as viewed by quantum mechanics,1963 film by J. Arthur Campbell
works/86427,Pollution,1970 film
works/79648,Norm and Ahmed,1988 film by Karl McPhee
works/65036,The Athletes,1970 film by Don Murray
works/71810,The Pressure of light,1958 film
works/69373,Kepler and his work,1958 film
